island_name,data_source
singapore,historical
bangka,historical
langkawi,historical
lingga,survey
bintan,historical
nias,historical
billiton,historical
bunguran,historical
labuan,historical
tioman,historical
siberut,historical
ubin,historical
batam,historical
simeulue,historical
panaitan,historical
banggi,historical
kangean,historical
sipora,historical
pangkor,historical
tana_massa,historical
terutau,historical
tuangku,historical
durian,survey
sebangka,survey
tello,historical
temiang,survey
south_pagai,historical
north_pagai,historical
balambangan,historical
enggano,historical
sebatik,historical
ngenang,survey
pini,historical
bawean,historical
siantan,historical
maratua,historical
gaya,historical
ayer_merbau,historical
jimaja,historical
babi,historical
bangkaru,historical
tinjul,survey
momoi,survey
pandjang,historical
perhentian_besar,historical
pisang,historical
sirhassen,historical
tana_bala,historical
tinjil,historical
karimun_jawa,historical
bidong,historical
deli,historical
senang,historical
mantanani,historical
redang,historical
pawai,historical
akar,survey
derawan,historical
mallewalle,historical
raboe_raboe,historical
remang_besar,survey
rumpia,historical
lasia,historical
panggal_sedang,survey
remang_kecil,survey
sambu_kecil,survey
jarak,historical
laut,historical
manguan,historical
samama,historical
sangalaki,historical
eraban,historical
malang,survey
paloi_besar,survey
berhala,historical
panggal_besar,survey
sepatu,survey
mangalum,historical
mataha,historical
nipong,survey
panggal_kecil,survey
saya,historical
bilang_bilangan,historical
pemanggil,historical
perak,historical
sayap,survey
balik_kekup,historical
lalang,historical
matang_cilik,survey
telor_besar,survey
telor_kecil,survey
paloi_kecil,survey
sarang_lang,historical
tokong_simbang,historical
