island_name,group_name
singapore,riau_bangka_belitung
bangka,riau_bangka_belitung
langkawi,peninsula
lingga,riau_bangka_belitung
bintan,riau_bangka_belitung
nias,west_sumatran
billiton,riau_bangka_belitung
bunguran,anambas_natuna
labuan,bornean
tioman,peninsula
siberut,west_sumatran
ubin,riau_bangka_belitung
batam,riau_bangka_belitung
simeulue,west_sumatran
panaitan,javan
banggi,bornean
kangean,javan
sipora,west_sumatran
pangkor,peninsula
tana_massa,west_sumatran
terutau,peninsula
tuangku,west_sumatran
durian,riau_bangka_belitung
sebangka,riau_bangka_belitung
tello,west_sumatran
temiang,riau_bangka_belitung
south_pagai,west_sumatran
north_pagai,west_sumatran
balambangan,bornean
enggano,west_sumatran
sebatik,bornean
ngenang,riau_bangka_belitung
pini,west_sumatran
bawean,javan
siantan,anambas_natuna
maratua,bornean
gaya,bornean
ayer_merbau,riau_bangka_belitung
jimaja,anambas_natuna
babi,west_sumatran
bangkaru,west_sumatran
tinjul,riau_bangka_belitung
momoi,riau_bangka_belitung
pandjang,bornean
perhentian_besar,peninsula
pisang,peninsula
sirhassen,anambas_natuna
tana_bala,west_sumatran
tinjil,javan
karimun_jawa,javan
bidong,peninsula
deli,javan
senang,riau_bangka_belitung
mantanani,bornean
redang,peninsula
pawai,riau_bangka_belitung
akar,riau_bangka_belitung
derawan,bornean
mallewalle,bornean
raboe_raboe,bornean
remang_besar,riau_bangka_belitung
rumpia,peninsula
lasia,west_sumatran
panggal_sedang,riau_bangka_belitung
remang_kecil,riau_bangka_belitung
sambu_kecil,riau_bangka_belitung
jarak,peninsula
laut,anambas_natuna
manguan,anambas_natuna
samama,bornean
sangalaki,bornean
eraban,bornean
malang,riau_bangka_belitung
paloi_besar,riau_bangka_belitung
berhala,peninsula
panggal_besar,riau_bangka_belitung
sepatu,riau_bangka_belitung
mangalum,bornean
mataha,bornean
nipong,riau_bangka_belitung
panggal_kecil,riau_bangka_belitung
saya,riau_bangka_belitung
bilang_bilangan,bornean
pemanggil,peninsula
perak,peninsula
sayap,riau_bangka_belitung
balik_kekup,bornean
lalang,peninsula
matang_cilik,riau_bangka_belitung
telor_besar,riau_bangka_belitung
telor_kecil,riau_bangka_belitung
paloi_kecil,riau_bangka_belitung
sarang_lang,peninsula
tokong_simbang,peninsula
