standard_name,pretty_name
singapore,Singapore
bangka,Bangka
langkawi,Langkawi
lingga,Lingga
bintan,Bintan
nias,Nias
billiton,Billiton
bunguran,Bunguran
labuan,Labuan
tioman,Tioman
siberut,Siberut
ubin,Ubin
batam,Batam
simeulue,Simeulue
panaitan,Panaitan
banggi,Banggi
kangean,Kangean
sipora,Sipora
pangkor,Pangkor
tana_massa,Tana Massa
terutau,Terutau
tuangku,Tuangku
durian,Durian
sebangka,Sebangka
tello,Tello
temiang,Temiang
south_pagai,South Pagai
north_pagai,North Pagai
balambangan,Balambangan
enggano,Enggano
sebatik,Sebatik
ngenang,Ngenang
pini,Pini
bawean,Bawean
siantan,Siantan
maratua,Maratua
gaya,Gaya
ayer_merbau,Ayer Merbau
jimaja,Jimaja
babi,Babi
bangkaru,Bangkaru
tinjul,Tinjul
momoi,Momoi
pandjang,Pandjang
perhentian_besar,Perhentian Besar
pisang,Pisang
sirhassen,Sirhassen
tana_bala,Tana Bala
tinjil,Tinjil
karimun_jawa,Karimun Jawa
bidong,Bidong
deli,Deli
senang,Senang
mantanani,Mantanani
redang,Redang
pawai,Pawai
akar,Akar
derawan,Derawan
mallewalle,Mallewalle
raboe_raboe,Raboe Raboe
remang_besar,Remang Besar
rumpia,Rumpia
lasia,Lasia
panggal_sedang,Panggal Sedang
remang_kecil,Remang Kecil
sambu_kecil,Sambu Kecil
jarak,Jarak
laut,Laut
manguan,Manguan
samama,Samama
sangalaki,Sangalaki
eraban,Eraban
malang,Malang
paloi_besar,Paloi Besar
berhala,Berhala
panggal_besar,Panggal Besar
sepatu,Sepatu
mangalum,Mangalum
mataha,Mataha
nipong,Nipong
panggal_kecil,Panggal Kecil
saya,Saya
bilang_bilangan,Bilang Bilangan
pemanggil,Pemanggil
perak,Perak
sayap,Sayap
balik_kekup,Balik Kekup
lalang,Lalang
matang_cilik,Matang Cilik
telor_besar,Telor Besar
telor_kecil,Telor Kecil
paloi_kecil,Paloi Kecil
sarang_lang,Sarang Lang
tokong_simbang,Tokong Simbang
