"subset_name","sample_ID","rho","observed_c_score","actual_sample_size","effective_sample_size","mean_c_score","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
"survey_only",1,1700,0.753459119496855,7099,1009.50084659422,0.771470337305015,0.206507958867446,0.79645020425412,"==",-0.824463729413731
"survey_only",2,1700,0.771967654986523,6599,1005.72696242822,0.785269678612581,0.264888619487801,0.738596757084407,"==",-0.676803784021865
"survey_only",3,1700,1.1803392177224,5399,1009.07485710032,1.2061997430264,0.18688646045564,0.815150953880348,"==",-0.869786974265687
"survey_only",4,1700,0.838430173292559,6499,1037.27017176578,0.848240694862123,0.359132174180643,0.643022003385136,"==",-0.454841128399002
"survey_only",5,1700,0.76709446665264,6499,1015.48648454691,0.77833029839966,0.298507462686567,0.706262501923373,"==",-0.600706034207847
"survey_only",6,1700,0.789937106918239,7199,1012.9846696352,0.801312226778028,0.308376163356022,0.695513265731352,"==",-0.578555109258108
"survey_only",7,1700,0.957356439007815,6799,1031.62268087854,0.975229312819433,0.197234887483453,0.80453007795264,"==",-0.86523608389226
"survey_only",8,1700,0.655614500442087,8299,1064.64557977379,0.664655942163411,0.323532955777805,0.680684419809616,"==",-0.535066142636118
"survey_only",9,1700,0.971608265947889,6199,1003.15710183912,1.01465294448703,0.0191966446201,0.981448620745281,"==",-1.73393791810498
"survey_only",10,1700,0.624228531123259,7299,1008.52229074719,0.639269735681684,0.234552678449103,0.769009453349774,"==",-0.739742710880936
"survey_only",11,1700,0.66747572815534,7199,1009.95568193192,0.665751072596279,0.594804834004723,0.40908459508265,"==",0.0877993600921463
"survey_only",12,1700,0.746271338724169,7199,1004.03801476604,0.750824656564185,0.445756355049312,0.557438533129601,"==",-0.243434574016768
"survey_only",13,1700,0.432570928633921,7899,1019.50917170923,0.443539996796514,0.236485631092543,0.767059121407773,"==",-0.722058924347447
"survey_only",14,1700,0.499278499278499,8799,1035.10639189422,0.490820636113121,0.779065802932151,0.224230026139334,"==",0.658724300642135
"survey_only",15,1700,0.573260073260073,8999,1007.47669189293,0.585130867206653,0.238137570841205,0.766196244027114,"==",-0.73936521888905
"survey_only",16,1700,0.89731142643764,5799,1013.5124642203,0.901719747462318,0.465425073288498,0.536989136057941,"==",-0.192931242525021
"survey_only",17,1700,0.980855855855856,5999,1004.74310443804,0.97917864045552,0.581430238373062,0.42173695615936,"==",0.0789382925382704
"survey_only",18,1700,0.939393939393939,6399,1049.37673749337,0.975349931186781,0.0245350836068136,0.976090014064698,"==",-1.59617808403278
"survey_only",19,1700,0.909363427966849,6299,1024.60069108507,0.932838561197755,0.176377202730592,0.825686616923321,"==",-0.927466410390495
"survey_only",20,1700,0.728091728091728,6699,1010.53050261222,0.759951165593799,0.0331392745185849,0.96760710553814,"==",-1.47994359037259
"survey_only",21,1700,0.835347985347985,5999,1002.29662008546,0.860497903496737,0.0985164194032339,0.903983997332889,"==",-1.20358082990094
"survey_only",22,1700,0.616871416871417,7999,1001.30348704203,0.62345385310756,0.40817602200275,0.596699587448431,"==",-0.354718915228366
"survey_only",23,1700,1.03793859649123,5599,1012.4728311599,1.08323494483664,0.0310769780317914,0.969637435256296,"==",-1.51178679824308
"survey_only",24,1700,0.685893774985722,6499,1006.95674147499,0.691774367489711,0.433143560547777,0.571780273888291,"==",-0.285293292541044
"survey_only",25,1700,1.15015321756895,4199,1009.30914508127,1.20600659819535,0.0123839009287926,0.988568706834961,"==",-1.69482180768307
"survey_only",26,1700,0.791879468845761,7099,1006.91068663602,0.788286442392655,0.641076207916608,0.363431469221017,"==",0.226865566328992
"survey_only",27,1700,1.0308853809197,5999,1005.91384280219,1.03326757464229,0.514252375395899,0.489248208034672,"==",-0.0925101277684593
"survey_only",28,1700,0.778050778050778,6399,1004.64832494823,0.8036916087549,0.0495389904672605,0.951086107204251,"==",-1.3968268267299
"survey_only",29,1700,0.93953488372093,5399,1008.6559984958,0.970085608902089,0.0737173550657529,0.929246156695684,"==",-1.27361235971214
"survey_only",30,1700,0.966217430368374,6699,1009.14131763817,1.00407704573519,0.0238841618151963,0.976862218241529,"==",-1.67896932297778
"survey_only",31,1700,1.2432079414838,5399,1013.90103774412,1.2447005357043,0.51602148546027,0.488609001666975,"==",-0.0632836833175498
"survey_only",32,1700,0.789955022488756,6799,1002.10983204509,0.818776153914512,0.0450066186203854,0.956022944550669,"==",-1.42237783801763
"survey_only",33,1700,0.706679311746376,7199,1002.37250071545,0.727871645302014,0.0887623281011252,0.91234893735241,"==",-1.20226182926556
"survey_only",34,1700,0.592053973013493,9099,1013.39960484399,0.584395421807725,0.719859325200571,0.282888229475767,"==",0.433650669769665
"survey_only",35,1700,0.759432329525787,6599,1015.12258453887,0.807310295029335,0.00181845734202152,0.998181542657978,"==",-2.13780846695178
"survey_only",36,1700,1.15528255528256,5999,1000.94098728777,1.14025728284771,0.770961826971162,0.230871811968661,"==",0.699301333022651
"survey_only",37,1700,0.869565217391304,6299,1038.90789511386,0.905536920379309,0.0303222733767265,0.970312748055247,"==",-1.56673542079412
"survey_only",38,1700,0.62967032967033,8299,1018.17926108981,0.651528517271378,0.0443426918905892,0.957103265453669,"==",-1.42174697691886
"survey_only",39,1700,0.835038027799633,7499,1002.28957586927,0.848561519890737,0.239231897586345,0.763301773569809,"==",-0.73601332461308
"survey_only",40,1700,0.634432234432234,7799,1014.59005856291,0.641649276910208,0.344916014873702,0.659443518399795,"==",-0.48645370672547
