"sample_ID","S","H","c_score"
1,96,23,1.33552631578947
2,110,23,0.855379482902419
3,121,23,1.61831955922865
4,106,23,1.07241689128482
5,117,23,0.868700265251989
6,110,23,1.32727272727273
7,125,23,1.07393548387097
8,110,23,1.24020016680567
9,105,23,1.02380952380952
10,92,23,1.50071667462972
11,110,23,1.3371142618849
12,114,23,1.42617605961807
13,116,23,1.14767616191904
14,112,23,1.14108751608752
15,105,23,1.21904761904762
16,113,23,1.39680783817952
17,113,23,1.20922882427307
18,123,23,0.968412634946022
19,127,23,0.711786026746657
20,115,23,1.15926773455378
21,99,23,1.37889095031952
22,140,23,0.812538540596095
23,129,23,1.20276162790698
24,106,23,1.40916442048518
25,100,23,1.40686868686869
26,126,23,1.0632380952381
27,113,23,1.2436788874842
28,121,23,1.20578512396694
29,122,23,1.12545725511448
30,125,23,1.09858064516129
31,112,23,1.28587516087516
32,118,23,1.11487758945386
33,115,23,1.0977879481312
34,105,23,0.894139194139194
35,122,23,1.41877794336811
36,114,23,1.15510013972986
37,108,23,1.22377985462098
38,104,23,1.57188200149365
39,125,23,1.37109677419355
40,107,23,1.30841121495327
