"suffix","sample_ID","observed_c_score","actual_sample_size","effective_sample_size","mean_c_score","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
"_1",1,2.30568356374808,2299,1042.12749795618,2.32313900364525,0.381905176163549,0.620269682470639,"==",-0.363839023166003
"_1",2,3.50909090909091,1799,1020.28071899031,3.49111844242472,0.627015008337966,0.376876042245692,"==",0.265312655180865
"_1",3,4.15063520871143,2199,1024.79153657582,3.97990479641106,0.995452478399272,0.00500227376080036,"==",2.99692249497995
"_1",4,2.42314436002338,1899,1001.09823849662,2.40082894531528,0.702474986835176,0.298578199052133,"==",0.426724327704124
"_1",5,2.29044289044289,2299,1024.3165080716,2.2759314630563,0.653327533710309,0.351892127011744,"==",0.276639883375662
"_1",6,2.61224489795918,2099,1018.73237158048,2.55113397050102,0.855645545497856,0.1467365412101,"==",1.04575136399444
"_1",7,2.56497175141243,2099,1001.42854764905,2.52969183603707,0.769890424011434,0.232015245354931,"==",0.634318718907935
"_1",8,2.95173453996983,1899,1014.75904766267,2.77482393289474,0.997893628225382,0.00210637177461822,"==",3.34237893473519
"_1",9,2.69082125603865,1799,1040.97671267849,2.57239851447261,0.950528071150639,0.0505836575875486,"==",1.849219156678
"_1",10,2.2940108892922,2199,1005.18621738021,2.31279933380047,0.391541609822647,0.614370168258299,"==",-0.371286487543375
"_1",11,2.17514124293785,2299,1057.21485795156,2.21044497361909,0.27316224445411,0.732057416267943,"==",-0.664836551161483
"_1",12,2.50601295097132,1799,1005.59793193962,2.42256387683773,0.917732073374097,0.0839355197331851,"==",1.48858606571825
"_1",13,3.05429864253394,1799,1004.6568066517,3.00329536184423,0.81100611450806,0.190661478599222,"==",0.854860925824537
"_1",14,3.20238095238095,1799,1036.65404729891,3.12630127092527,0.860478043357421,0.141189549749861,"==",1.08408383824258
"_1",15,3.43766233766234,2199,1086.3723439812,3.24872137866681,0.994088221919054,0.00591177808094588,"==",3.0832045738299
"_1",16,3.05007256894049,1799,1015.52056722566,2.85936550784947,0.998888271261812,0.00111172873818788,"==",3.92815535744363
"_1",17,2.9874213836478,1899,1046.20233841871,2.88257934129147,0.956292785676672,0.0447604002106372,"==",1.87321255296304
"_1",18,2.10971348707198,2199,1017.74479440708,2.08650936881608,0.703046839472487,0.302410186448386,"==",0.410031491083209
"_1",19,2.16979949874687,2099,1008.44445756364,2.11187538880551,0.861838970938542,0.140066698427823,"==",1.05268895170529
"_1",20,2.48246753246753,2099,1021.52665337615,2.44512724055363,0.770843258694616,0.232015245354931,"==",0.658429580433918
"_1",21,2.46901017576318,2299,1285.78899922899,2.46002062594886,0.601130926489778,0.40495867768595,"==",0.165430168802795
"_1",22,3.3055152394775,1599,1047.86015128312,3.10102649424395,0.996873045653533,0.00375234521575985,"==",3.52440942413213
"_1",23,3.05026300409117,2299,1031.47292058228,2.97686667315777,0.901261418007829,0.101348412353197,"==",1.29121402415203
"_1",24,2.10367346938776,1999,1037.09937293639,2.01852926463232,0.915457728864432,0.0850425212606303,"==",1.56460342580441
"_1",25,2.04063860667634,1999,1037.69263393349,2.08056713407502,0.23711855927964,0.768384192096048,"==",-0.741271972156573
"_1",26,2.46530612244898,1199,1008.81129111749,2.3165066126534,0.978315262718932,0.0216847372810676,"==",2.49892434170178
"_1",27,2.95573294629898,2199,1018.1496176143,2.93119118005215,0.71168713051387,0.291950886766712,"==",0.437191701802757
"_1",28,2.87840670859539,2099,1035.88950921427,2.8698165476955,0.605050023820867,0.398284897570272,"==",0.138962507766055
"_1",29,3.40346907993967,1799,1014.14212552319,3.29594747207473,0.964424680377988,0.0366870483602001,"==",1.95083432258959
"_1",30,2.38274509803922,1899,1061.69475055641,2.39190203306178,0.494470774091627,0.513428120063191,"==",-0.152320254498759
"_1",31,3.05576441102757,2299,1031.36453442457,2.95831520951138,0.929099608525446,0.0726402783819052,"==",1.53673224916319
"_1",32,2.62745098039216,1799,1006.25389256021,2.49317551144972,0.983324068927182,0.0172317954419122,"==",2.47239362708987
"_1",33,2.97171717171717,2099,1039.26759289339,2.87074396497932,0.959028108623154,0.0419247260600286,"==",1.92597424862961
"_1",34,2.17358270017534,2799,1030.45883537856,2.12638687650198,0.846016434440872,0.155055376920329,"==",1.03163879200482
"_1",35,2.78435517970402,1799,1023.40508553839,2.64247050569555,0.977765425236242,0.0222345747637576,"==",2.29951761925962
"_1",36,2.14450354609929,2299,1031.39115081491,2.1359649122807,0.615484993475424,0.39147455415398,"==",0.160997721608209
"_1",37,2.96329365079365,2399,1009.41161559362,2.9597168049518,0.556065027094623,0.446852855356399,"==",0.062241420206339
"_1",38,3.10119047619048,1799,1046.7493554563,3.01794695087596,0.928293496386882,0.0728182323513063,"==",1.51408934404604
"_1",39,2.39529411764706,2299,1050.68941680233,2.26451500652458,0.986080904741192,0.0143540669856459,"==",2.47430221450032
"_1",40,3.01254901960784,1899,1017.68210094065,2.86250720193291,0.989468141126909,0.0115850447604002,"==",2.68618136101069
"_2",1,4.65561224489796,1599,1019.49525006754,4.54530148519696,0.934959349593496,0.066916823014384,"==",1.59687062770231
"_2",2,3.4141156462585,2099,1063.74511055586,3.27527645169549,0.983325393044307,0.0176274416388757,"==",2.49927380495501
"_2",3,4.40111809923131,1699,1005.99647611157,4.32203594090164,0.906415538552089,0.0953502060035315,"==",1.35092823552494
"_2",4,3.59886201991465,1599,1027.15999299669,3.35401126415247,0.998749218261413,0.00125078173858662,"==",3.8814195880032
"_2",5,3.93411764705882,1899,1053.31243097605,3.67925574863964,0.998946814112691,0.00105318588730911,"==",4.86874902360958
"_2",6,3.56184012066365,1999,1056.19731285517,3.47411903538496,0.921460730365183,0.0785392696348174,"==",1.50998762913927
"_2",7,2.25052854122622,2199,1126.07096346094,1.98531333192966,0.999545247839927,0.00045475216007276,">",4.85344042761333
"_2",8,4.87234042553191,1499,1001.40088887167,4.86183820357574,0.613075383589059,0.388925950633756,"==",0.183712218887241
"_2",9,3.23311748381129,1999,1152.35383503976,3.09500217268671,0.978989494747374,0.0210105052526263,"==",2.28939538163495
"_2",10,3.94541231126597,1699,1057.49946393013,3.83856323218071,0.92525014714538,0.0753384343731607,"==",1.51867987414408
"_2",11,3.89035087719298,1999,1006.36226239385,3.78162922313287,0.962981490745373,0.0375187593796898,"==",1.97421525321258
"_2",12,2.72,2399,1038.3589001455,2.54970387988459,0.995414756148395,0.00541892455189662,"==",3.34728321874594
"_2",13,4.38717948717949,1499,1017.3995762658,4.16366723114555,0.996664442961975,0.00333555703802535,"==",3.25795563507226
"_2",14,3.95555555555556,2099,1047.79122507213,3.94773685721756,0.596950929013816,0.40924249642687,"==",0.13183202220698
"_2",15,4.10382513661202,1899,1020.03997126668,3.88608586054783,0.999473407056345,0.000526592943654555,"==",3.83128066043529
"_2",16,3.62323232323232,1699,1029.35692673941,3.42659675031659,0.997645673925839,0.00294290759270159,"==",3.29178895015863
"_2",17,3.85609756097561,1599,1022.38550698306,3.82364435089004,0.728580362726704,0.274546591619762,"==",0.485966573950208
"_2",18,3.92452830188679,1899,1060.6220539465,3.75588166783135,0.9942074776198,0.00579252238020011,"==",2.90831879601695
"_2",19,3.97779833487512,1499,1010.3052715656,3.94902367844366,0.71180787191461,0.296864576384256,"==",0.46160827148751
"_2",20,3.77374470659407,1999,1045.0231320242,3.53272915949808,0.999499749874938,0.000500250125062531,">",4.28209882545498
"_2",21,3.04298642533937,1799,1038.51367669762,2.95699932172809,0.907170650361312,0.0950528071150639,"==",1.39846531157279
"_2",22,5.09632653061225,1699,1039.68847425199,5.08695342998883,0.602118893466745,0.403766921718658,"==",0.172722636447714
"_2",23,4.31122448979592,1799,1050.33122064806,4.24748017606153,0.82934963868816,0.173985547526404,"==",0.914839045551989
"_2",24,2.97872340425532,1899,1029.85766985936,2.81008201404995,0.992101105845182,0.00842548709847288,"==",2.85544809020153
"_2",25,3.98688376300317,2299,1037.31899164974,3.80683360059208,0.998695084819487,0.00130491518051327,"==",3.49345408260722
"_2",26,3.40051020408163,1799,1011.95364948248,3.18572440093325,0.997776542523624,0.00222345747637576,"==",3.90124671013114
"_2",27,4.856038647343,1699,1016.78707762943,4.63369757146147,0.998822836962919,0.00117716303708064,"==",4.03191375508816
"_2",28,2.85218702865762,2199,1019.23243806617,2.84930281623966,0.572078217371533,0.434288312869486,"==",0.0464215223383436
"_2",29,3.28350168350168,2099,1047.61965453182,3.11360035161846,0.993806574559314,0.00619342544068604,"==",3.01652104841573
"_2",30,4.86267995570321,1499,1040.76043646545,4.77187449440269,0.933288859239493,0.066711140760507,"==",1.64968896281962
"_2",31,3.32269503546099,1699,1030.55742947788,3.05712945453938,0.99941141848146,0.000588581518540318,"==",4.02764468670764
"_2",32,4.1016333938294,1899,1045.69279286539,3.8333726764843,0.998420221169036,0.00157977883096367,"==",4.24696791124476
"_2",33,2.72619047619048,1999,1040.2833488169,2.67389960644483,0.821910955477739,0.179589794897449,"==",0.9038895891161
"_2",34,3.23261250730567,2099,1066.16487241253,2.9838073792619,0.999523582658409,0.000476417341591234,"==",4.60286740398425
"_2",35,3.83996299722479,1999,1010.87143928712,3.75012668221252,0.906953476738369,0.0940470235117559,"==",1.34268866607786
"_2",36,2.5989898989899,1899,1025.8024245899,2.49380269253887,0.949973670352817,0.0531858873091101,"==",1.79586519241522
"_2",37,3.32568027210884,1699,1019.15344297291,3.1349613418057,0.996468510888758,0.00412007062978222,"==",3.11702787467532
"_2",38,5.26688815060908,1599,1017.74201877792,5.10428236917176,0.989993746091307,0.0118824265165729,"==",2.64456598294096
"_2",39,3.21831637372803,1799,1013.26970018777,3.11592574557044,0.947192884936076,0.0533629794330183,"==",1.75076969347822
"_2",40,4.03846153846154,1799,1043.36651317102,3.86123386798599,0.993329627570873,0.00667037242912729,"==",3.01528477448381
"_2",41,3.65166569257744,2299,1060.71956418925,3.43132899751347,0.998695084819487,0.00130491518051327,"==",4.1045168936847
"_2",42,2.83506493506493,2399,1030.54619937504,2.7137343481862,0.978324301792413,0.0216756982075865,"==",2.2807441810552
"_2",43,3.3657616892911,1799,1049.61155608582,3.39259199639149,0.364647026125625,0.638688160088938,"==",-0.427225122693324
"_2",44,3.76767676767677,1799,1059.91368204598,3.60946036237865,0.977209560867148,0.0239021678710395,"==",2.34805427624379
"_2",45,4.31843137254902,1699,1024.47580437817,4.17411395399832,0.988228369629194,0.0117716303708064,"==",2.71818919836616
"_2",46,3.50775510204082,2299,1026.41134482812,3.4472919015366,0.855154414963027,0.147890387124837,"==",1.07634587832264
"_2",47,4.7356862745098,1799,1061.25196161637,4.63671189876729,0.940522512506948,0.0611450806003335,"==",1.66691147828006
"_2",48,3.70508474576271,2299,1019.86656917729,3.47663784057426,0.999130056546324,0.000869943453675511,"==",3.93417222684625
"_2",49,4.00317124735729,1599,1026.74327396905,4.03604195010888,0.348342714196373,0.65791119449656,"==",-0.45752854084965
"_2",50,3.30338164251208,1899,1031.35032076858,3.17689554380261,0.95839915745129,0.0421274354923644,"==",1.9036334612696
"_2",51,4.1184012066365,1799,1022.90034951478,4.00902545992956,0.949416342412451,0.0516953863257365,"==",1.72859185533066
"_2",52,3.7655737704918,1999,1005.20561276949,3.56809005595694,0.99399699849925,0.00600300150075038,"==",3.10192990198918
"_2",53,2.46599326599327,1999,1008.72959057853,2.37176399647635,0.928464232116058,0.0730365182591296,"==",1.60732965492576
"_2",54,3.86599326599327,1899,1032.45547903221,3.75714668184389,0.963138493944181,0.0373880989994734,"==",1.98210206386556
"_2",55,3.7025974025974,1999,1030.89087311524,3.54556076739669,0.996998499249625,0.00350175087543772,"==",3.08470538218265
"_2",56,4.63741134751773,1599,1028.14805415358,4.57753571602819,0.829268292682927,0.172607879924953,"==",0.934842054178207
"_2",57,2.75620567375887,1799,1013.70609615909,2.53490069345066,0.999444135630906,0.000555864369093941,"==",3.74953821527591
"_2",58,3.82072977260709,2099,1031.33609675281,3.65397060220311,0.992853739876131,0.00714626012386851,"==",2.90415484831328
"_2",59,2.8395390070922,1899,1000.84481233682,2.80575256107171,0.754607688256977,0.249605055292259,"==",0.614947343402585
"_2",60,3.40487804878049,1699,1046.32283132691,3.1885721873699,0.993525603296057,0.0064743967039435,"==",3.13110466362091
"_2",61,2.55195681511471,1699,1038.52787677019,2.26214435895053,0.99941141848146,0.000588581518540318,">",4.93080152391665
"_2",62,4.75620567375887,1499,1040.92220959945,4.72982815967146,0.688458972648432,0.314876584389593,"==",0.388524263141808
"_2",63,4.74833635813672,1899,1067.28080679707,4.66115416557955,0.92838335966298,0.0716166403370195,"==",1.60479033443065
"_2",64,3.56563823351482,2099,1050.45548484539,3.48094604436705,0.905192949023344,0.0962363030014293,"==",1.38716062730049
"_2",65,3.31372549019608,1999,1058.96570354925,3.12914526644921,0.995497748874437,0.00450225112556278,"==",3.09655716171962
"_2",66,3.4477503628447,1999,1007.33194083042,3.3641232807986,0.913456728364182,0.0865432716358179,"==",1.4283338572659
"_2",67,4.2030303030303,1499,1058.76916220852,3.87734988308704,0.999332888592395,0.00066711140760507,">",4.7464256929931
"_2",68,3.41604010025063,1999,1015.14885936038,3.3254095719539,0.930965482741371,0.0700350175087544,"==",1.54278368049418
"_2",69,2.86786469344609,1699,1043.79693147383,2.61019415723962,0.998822836962919,0.00117716303708064,"==",3.97487964571572
"_2",70,3.50987224157956,1899,1027.51445978381,3.47616295391119,0.737756714060032,0.264876250658241,"==",0.534985450601128
"_2",71,4.93244739756368,1499,1036.74526043806,4.82461618930893,0.930620413609073,0.0707138092061374,"==",1.49987843797308
"_2",72,5.06258890469417,1799,1008.91104162324,5.02770307828674,0.739299610894942,0.266259032795998,"==",0.564423509794387
"_2",73,3.60941176470588,1899,1035.80146434777,3.54568575824221,0.897840968931016,0.104265402843602,"==",1.22674668509615
"_2",74,3.58186864014801,1699,1054.22462088673,3.41465704100851,0.992937021777516,0.00706297822248381,"==",2.78191796868222
"_2",75,3.87002096436059,1999,1029.78977159333,3.82149530390632,0.807903951975988,0.194097048524262,"==",0.824858170062582
"_2",76,5.26700680272109,1599,1028.07382038508,5.16891296856454,0.91494684177611,0.0869293308317699,"==",1.46485145767508
"_2",77,4.34143763213531,1599,1063.39830893421,4.1355114917225,0.997498436522827,0.00250156347717323,"==",3.33636023622365
"_2",78,4.22278664731495,1999,1124.20726108927,4.00576594538198,0.998999499749875,0.00100050025012506,"==",4.00869426208647
"_2",79,4.5536231884058,1099,1117.96838186402,4.24805422584431,0.99909008189263,0.000909918107370337,"==",5.04586331606436
"_2",80,4.08888888888889,1599,1044.15332179795,4.0343080586983,0.816135084427767,0.185741088180113,"==",0.85059174974989
"_2",81,3.9213691026827,1899,1030.87708105976,3.88793848848827,0.73407056345445,0.27172195892575,"==",0.492901326572242
"_2",82,3.81818181818182,1799,1031.60853129485,3.6645340904684,0.980544747081712,0.0211228460255698,"==",2.33250299362345
"_2",83,5.69085631349782,1599,1043.43455586844,5.48123600472356,0.997498436522827,0.00250156347717323,"==",3.48981952387587
"_2",84,3.92553191489362,1799,1049.36164454066,3.75703207849909,0.993329627570873,0.00667037242912729,"==",2.86955195518684
"_2",85,4.23921568627451,1699,1037.64535867995,4.10396796270009,0.982931135962331,0.0182460270747499,"==",2.31303371673205
"_2",86,3.43920145190563,1999,1062.03213535631,3.38178435860398,0.862931465732866,0.141570785392696,"==",1.11656137702542
"_2",87,3.31146304675716,1599,1366.58651234581,3.19156533542363,0.963727329580988,0.0362726704190119,"==",1.98583187229794
"_2",88,3.33116883116883,2099,1008.01440152635,3.19552136762713,0.979037636969986,0.0209623630300143,"==",2.31863321185463
"_2",89,3.78989898989899,1899,1019.68666629534,3.54685826139223,0.997367035281727,0.00263296471827278,"==",3.68482010363016
"_2",90,3.26767676767677,1699,1028.42488509412,3.28843585947765,0.413772807533843,0.59329017068864,"==",-0.315519226803306
"_2",91,4.00187969924812,1799,1000.84714557296,4.00019329869978,0.552529182879377,0.451917732073374,"==",0.033528283849548
"_2",92,2.69381598793364,2099,1033.9100324868,2.48714427684806,0.999523582658409,0.000476417341591234,"==",4.11367910338893
"_2",93,3.02536997885835,1899,1078.23280510711,2.93333478062895,0.933122696155872,0.0705634544497104,"==",1.5757293159078
"_2",94,4.88829787234043,1699,1005.16330616115,4.74880874857551,0.991759858740436,0.00941730429664508,"==",2.70820204508777
"_2",95,4.47812971342383,1699,1024.78970483642,4.41604945505164,0.875220718069453,0.127133608004709,"==",1.14394874024275
"_2",96,3.22278664731495,1899,1013.44629512071,3.15766185090159,0.870458135860979,0.131648235913639,"==",1.14870628667655
"_2",97,3.70628019323672,1799,1047.58544039732,3.42413256962403,0.999444135630906,0.000555864369093941,">",4.88856171952011
"_2",98,3.74404761904762,1799,1004.30796040785,3.71223100134996,0.728738187882157,0.274041133963313,"==",0.52951473889022
"_2",99,4.10812390414962,2399,1165.01491876593,3.95266145620289,0.997082117548979,0.00333472280116715,"==",3.07226317713286
"_2",100,1.90707070707071,2199,1021.26968612651,1.84896210858012,0.84356525693497,0.158708503865393,"==",0.964280249731357
