"sample_ID","S","H","NODF"
1,106,23,66.5151690981808
2,106,23,69.9681995720683
3,108,23,76.4166433246188
4,109,23,69.6960745410163
5,98,23,70.3145635045128
6,106,23,73.8036602830346
7,109,23,71.5933972863814
8,117,23,68.1991550267279
9,106,23,73.4550223757201
10,107,23,75.3946102587419
11,104,23,70.1396766622536
12,106,23,72.1398434580879
13,127,23,68.517921599175
14,99,23,59.4950291521896
15,105,23,66.334417961749
16,104,23,69.2109475871544
17,112,23,72.2099880437206
18,111,23,73.6372121094632
19,107,23,75.3992845793011
20,111,23,66.2024070369637
21,105,23,69.6627431353078
22,111,23,66.2691397861281
23,96,23,74.459193048523
24,103,23,68.8402338303516
25,89,23,76.9014650463724
26,89,23,65.9504333223324
27,94,23,72.9671084798752
28,111,23,70.7664738419926
29,86,23,70.0826598169817
30,106,23,71.5798419781619
31,88,23,67.8932067735273
32,116,23,72.9114443062515
33,122,23,71.2104818752365
34,116,23,70.8748646929159
35,108,23,72.0903461741695
36,111,23,72.7708803842241
37,116,23,73.4892914616628
38,105,23,71.1077417805639
39,124,23,72.4136282842968
40,105,23,66.0776527568467
