"suffix","sample_ID","observed_NODF","actual_sample_size","effective_sample_size","mean_NODF","lower_tail_p","upper_tail_p","p_type","standardised_effect_size"
"_2",1,62.8874877221003,1799,1036.15715317651,64.4110812598708,0.0933852140077821,0.906614785992218,"==",-1.38966681663435
"_2",2,61.596988556207,1599,1005.67504364842,61.7351458164599,0.405878674171357,0.594121325828643,"==",-0.159191072657197
"_2",3,61.8586370567769,1999,1026.1544099321,65.0629719927574,0.00100050025012506,0.998999499749875,"==",-3.22753071767037
"_2",4,65.8882644118627,1599,1003.19835439158,66.5749476885566,0.208880550343965,0.791119449656035,"==",-0.7515771458998
"_2",5,65.07987378276,1899,1022.18829791431,68.2673866219298,0.00895208004212743,0.991047919957873,"==",-2.89241571077675
"_2",6,58.4256551424601,1899,1117.24121784279,60.5268775764756,0.0168509741969458,0.983149025803054,"==",-2.34262191092337
"_2",7,70.418979161457,1699,1019.66992692701,70.9947814206498,0.211300765155974,0.788699234844026,"==",-0.803721277149127
"_2",8,62.4040331617303,1699,1058.71552311623,63.5931415980701,0.152442613301942,0.847557386698058,"==",-1.05135650686833
"_2",9,64.9623774709352,1499,1060.59407162363,67.6624179930615,0.00800533689126084,0.991994663108739,"==",-2.84899914448146
"_2",10,59.2627699889035,1699,1037.83020015693,60.6428353992031,0.0829899941141848,0.917010005885815,"==",-1.47409138318732
"_2",11,61.784311164917,1999,1003.37110734306,63.8058612115774,0.0370185092546273,0.962981490745373,"==",-1.9712214931666
"_2",12,64.0714273112184,2099,1003.65197559674,68.1412260916788,0.000476417341591234,0.999523582658409,"<",-4.79915856263737
"_2",13,69.2409472372217,1299,1010.74493308106,70.6192569819466,0.0977675134719015,0.902232486528099,"==",-1.33876665475183
"_2",14,58.4374018280396,1799,1031.39630354825,61.5038682098048,0.00389105058365759,0.996108949416342,"==",-3.05663576733644
"_2",15,64.5547658503261,1000,1030.62836833508,64.9481823256438,0.325,0.675,"==",-0.438128566861587
"_2",16,66.6055932555933,1299,1000.62455978236,67.9267383021425,0.0969976905311778,0.903002309468822,"==",-1.30775178555377
"_2",17,66.0625520486298,1699,1118.66335797274,65.7556305567564,0.589758681577399,0.410241318422602,"==",0.317652974268082
"_2",18,65.9339061628049,1899,1023.1839816057,66.2250592777547,0.353870458135861,0.646129541864139,"==",-0.290237216970823
"_2",19,64.7369061751265,1999,1026.59670252328,65.860930847828,0.152576288144072,0.847423711855928,"==",-1.04656738228109
"_2",20,64.4428280734942,1899,1046.23623984348,67.5220038286076,0.00105318588730911,0.998946814112691,"==",-3.47175660731795
"_2",21,62.819829267817,1799,1043.17636909815,64.5055820019466,0.0428015564202335,0.957198443579767,"==",-1.88673807327469
"_2",22,60.7012041857768,1799,1078.36504903148,63.275399458692,0.0150083379655364,0.984991662034464,"==",-2.53796129083356
"_2",23,61.2489148719257,1499,1009.20216903546,63.2570486519752,0.0326884589726484,0.967311541027352,"==",-2.03042754455722
"_2",24,68.4844301676399,1999,1024.67185843379,70.2724077994171,0.0400200100050025,0.959979989994997,"==",-1.96145545159728
"_2",25,64.2482950637102,2199,1009.84219152538,63.6838626468878,0.691223283310596,0.308776716689404,"==",0.591570933106254
"_2",26,63.5373987438031,1899,1032.87024838261,66.2336094667766,0.00842548709847288,0.991574512901527,"==",-2.87214940436789
"_2",27,66.498881419492,1799,1059.67494810438,68.9975575810509,0.0227904391328516,0.977209560867148,"==",-2.33900250005498
"_2",28,57.923140790737,1899,1040.15389179303,59.209810861064,0.0521327014218009,0.947867298578199,"==",-1.7586546285794
"_2",29,67.209905593358,1899,1023.16176938908,70.0904463857472,0.004739336492891,0.995260663507109,"==",-3.0373888295988
"_2",30,69.4684534313782,1499,1080.56445970513,67.5231969283547,0.973982655103402,0.0260173448965977,"==",1.71460147611245
