island_ID,m3,m5,m1,m2,m4,J3,J1,J2,suffix
0,0.00075,9.478735545670504e-06,0.4150616894300385,0.017643589971219825,8.431519233953546e-05,100.0,3181.6330881690105,564.0596677807246,_3
1,0.00075,1.827257433173565e-05,0.1865228107735078,0.011827599421697156,0.00011706592479796042,158.48931924611142,3181.6330881690105,710.1090495373293,_3
2,0.00075,3.388131512448328e-05,0.0902505290797352,0.008227265451521634,0.0001594082380034434,251.18864315095797,3181.6330881690105,893.9743276075471,_3
3,0.00075,6.11976756205925e-05,0.04606008367574982,0.005877504807042895,0.00021423878433991447,398.1071705534973,3181.6330881690105,1125.4469985167452,_3
4,0.00075,0.00010852058760728948,0.024418689458417648,0.0042794879476186435,0.00028529009920687243,630.957344480193,3181.6330881690105,1416.853826060202,_3
5,0.00075,0.0001899177367789884,0.01330859324027603,0.0031593424838416975,0.000377409992692617,1000.0,3181.6330881690105,1783.7132864249832,_3
6,0.00075,0.00032931264638932234,0.007404467180388476,0.0023565547702719242,0.0004969753362008938,1584.8931924611138,3181.6330881690105,2245.5619836352976,_3
7,0.00075,0.0005677323459406736,0.004184987278705079,0.0017716490789738274,0.0006525329566048788,2511.886431509582,3181.6330881690105,2826.995044957397,_3
8,0.00075,0.0009765389147436687,0.002394646878587605,0.0013401437083166506,0.000855806161497889,3981.0717055349733,3181.6330881690105,3558.9759011130586,_3
9,0.00075,0.001682187262832709,0.0013837549228327333,0.0010187326401586189,0.0011232276915766155,6309.57344480193,3181.6330881690105,4480.485201874271,_3
10,0.00075,0.002913191277285064,0.000806034000355716,0.0007775123794942351,0.0014781385110887947,10000.0,3181.6330881690105,5640.596677807246,_3
11,0.00075,0.005090118253821704,0.00047263593646423857,0.000595379670754871,0.00195386506452372,15848.93192461114,3181.6330881690105,7101.090495373293,_3
12,0.00075,0.009002141532593278,0.0002786899893998254,0.0004571843086216641,0.0025983852965726553,25118.864315095827,3181.6330881690105,8939.74327607548,_3
13,0.00075,0.016168113561794376,0.0001651124838780144,0.0003519010697746041,0.003482252887333972,39810.71705534969,3181.6330881690105,11254.469985167452,_3
14,0.00075,0.029612891999421864,9.8224299953984e-05,0.00027141891047878004,0.004712713549492095,63095.73444801942,3181.6330881690105,14168.538260602048,_3
15,0.00075,0.05563561864229702,5.8642199235934864e-05,0.00020971802361015898,0.006459621814140727,100000.0,3181.6330881690105,17837.13286424983,_3
