island_name,area_sq_km,S,true_S_in_bounds?,model_mean_S,model_lo_S,model_hi_S
lingga,431.14061799999996,107,no,79.81037924151697,66.0,95.0
durian,8.743169,44,yes,39.64870259481038,30.0,48.0
sebangka,122.76847099999999,39,no,66.59680638722556,55.0,80.0
temiang,29.587984999999996,38,no,51.87624750499002,42.0,63.5
ngenang,1.3903729999999999,31,no,21.924151696606785,16.0,28.0
tinjul,0.10457999999999999,23,no,9.213572854291417,8.0,12.0
momoi,1.275033,22,yes,21.05389221556886,15.0,27.0
akar,0.09889500000000001,14,no,9.125748502994012,8.0,12.0
remang_besar,0.085503,13,no,8.888223552894212,8.0,11.0
panggal_sedang,0.009718000000000001,11,no,8.017964071856287,8.0,8.0
remang_kecil,0.047512,11,no,8.401197604790418,8.0,10.0
sambu_kecil,0.05752,11,no,8.489021956087825,8.0,10.0
malang,0.032047000000000006,9,yes,8.243512974051896,8.0,9.5
paloi_besar,0.020593,9,yes,8.111776447105788,8.0,9.0
panggal_besar,0.040886,8,yes,8.305389221556887,8.0,10.0
sepatu,0.010136,8,yes,8.023952095808383,8.0,8.0
nipong,0.009691,7,no,8.00998003992016,8.0,8.0
panggal_kecil,0.00072446,7,no,1.249500998003992,0.0,4.0
sayap,0.00848,6,no,8.007984031936127,8.0,8.0
matang_cilik,0.042518,5,no,8.355289421157684,8.0,10.0
telor_besar,0.00475,3,no,8.0,8.0,8.0
telor_kecil,0.0025989999999999997,2,yes,4.491017964071856,2.0,7.0
paloi_kecil,0.003896,1,no,6.6706586826347305,4.5,8.0
